date,event,description
2019-01-01,New Year's Day,Public holiday
2019-02-05,Chinese New Year,Public holiday
2019-03-07,Bali's Day of Silence and Hindu New Year (Nyepi),Public holiday
2019-04-03,Ascension of the Prophet Muhammad (Isra' Mi'raj),Public holiday
2019-04-17,Election Day,Public holiday
2019-04-19,Good Friday,Public holiday
2019-04-21,Easter Sunday,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2019-05-01,International Labor Day,Public holiday
2019-05-19,Waisak Day,Public holiday
2019-05-30,Ascension Day of Jesus Christ,Public holiday
2019-06-01,Pancasila Day,Public holiday
2019-06-03,Idul Fitri,Public holiday
2019-06-04,Idul Fitri,Public holiday
2019-06-05,Idul Fitri,Public holiday
2019-06-06,Idul Fitri,Public holiday
2019-06-07,Idul Fitri,Public holiday
2019-08-11,Idul Adha,Public holiday
2019-08-17,Indonesian Independence Day,Public holiday
2019-09-01,Islamic New Year (Muharram),Public holiday
2019-10-27,Diwali,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2019-11-09,The Prophet Muhammad's Birthday (Maulid),Public holiday
2019-12-24,Christmas,Public holiday
2019-12-25,Christmas,Public holiday
2019-12-31,New Year's Eve,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2020-01-01,New Year's Day,Public holiday
2020-01-25,Chinese New Year,Public holiday
2020-03-22,Ascension of the Prophet Muhammad (Isra' Mi'raj),Public holiday
2020-03-25,Bali's Day of Silence and Hindu New Year (Nyepi),Public holiday
2020-04-10,Good Friday,Public holiday
2020-04-12,Easter Sunday,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2020-05-01,International Labor Day,Public holiday
2020-05-07,Waisak Day,Public holiday
2020-05-21,Ascension Day of Jesus Christ,Public holiday
2020-05-24,Idul Fitri,Public holiday
2020-05-25,Idul Fitri,Public holiday
2020-06-01,Pancasila Day,Public holiday
2020-07-31,Idul Adha,Public holiday
2020-08-17,Indonesian Independence Day,Public holiday
2020-08-20,Islamic New Year (Muharram),Public holiday
2020-08-21,Islamic New Year (Muharram),Public holiday
2020-10-28,The Prophet Muhammad's Birthday (Maulid),Public holiday
2020-10-29,The Prophet Muhammad's Birthday (Maulid),Public holiday
2020-10-30,The Prophet Muhammad's Birthday (Maulid),Public holiday
2020-11-14,Diwali,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2020-12-09,Election Day,Public holiday
2020-12-24,Christmas,Public holiday
2020-12-25,Christmas,Public holiday
2020-12-31,New Year's Eve,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2021-01-01,New Year's Day,Public holiday
2021-02-12,Chinese New Year,Public holiday
2021-03-11,Ascension of the Prophet Muhammad (Isra' Mi'raj),Public holiday
2021-03-12,Ascension of the Prophet Muhammad (Isra' Mi'raj),Public holiday
2021-03-14,Bali's Day of Silence and Hindu New Year (Nyepi),Public holiday
2021-04-02,Good Friday,Public holiday
2021-04-04,Easter Sunday,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2021-05-01,International Labor Day,Public holiday
2021-05-12,Idul Fitri,Public holiday
2021-05-13,Ascension Day of Jesus Christ,Public holiday
2021-05-13,Idul Fitri,Public holiday
2021-05-14,Idul Fitri,Public holiday
2021-05-17,Idul Fitri,Public holiday
2021-05-18,Idul Fitri,Public holiday
2021-05-19,Idul Fitri,Public holiday
2021-05-26,Waisak Day,Public holiday
2021-06-01,Pancasila Day,Public holiday
2021-07-20,Idul Adha,Public holiday
2021-08-10,Islamic New Year (Muharram),"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2021-08-11,Islamic New Year (Muharram),Public holiday
2021-08-17,Indonesian Independence Day,Public holiday
2021-10-19,The Prophet Muhammad's Birthday (Maulid),Public holiday
2021-10-20,The Prophet Muhammad's Birthday (Maulid),Public holiday
2021-11-04,Diwali,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2021-12-24,Christmas,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2021-12-25,Christmas,Public holiday
2021-12-27,Boxing Day,Public holiday
2021-12-31,New Year's Eve,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2022-01-01,New Year's Day,Public holiday
2022-02-01,Chinese New Year,Public holiday
2022-02-28,Ascension of the Prophet Muhammad (Isra' Mi'raj),Public holiday
2022-03-03,Bali's Day of Silence and Hindu New Year (Nyepi),Public holiday
2022-04-15,Good Friday,Public holiday
2022-04-17,Easter Sunday,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2022-04-29,Idul Fitri,Public holiday
2022-05-01,International Labor Day,Public holiday
2022-05-02,Idul Fitri,Public holiday
2022-05-03,Idul Fitri,Public holiday
2022-05-04,Idul Fitri,Public holiday
2022-05-05,Idul Fitri,Public holiday
2022-05-06,Idul Fitri,Public holiday
2022-05-16,Waisak Day,Public holiday
2022-05-26,Ascension Day of Jesus Christ,Public holiday
2022-06-01,Pancasila Day,Public holiday
2022-07-10,Idul Adha,Public holiday
2022-07-30,Islamic New Year (Muharram),Public holiday
2022-08-17,Indonesian Independence Day,Public holiday
2022-10-08,The Prophet Muhammad's Birthday (Maulid),Public holiday
2022-10-24,Diwali,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2022-12-24,Christmas,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2022-12-25,Christmas,Public holiday
2022-12-31,New Year's Eve,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2023-01-01,New Year's Day,Public holiday
2023-01-22,Chinese New Year,Public holiday
2023-01-23,Chinese New Year,Public holiday
2023-02-18,Ascension of the Prophet Muhammad (Isra' Mi'raj),Public holiday
2023-03-22,Bali's Day of Silence and Hindu New Year (Nyepi),Public holiday
2023-03-23,Ramadan Start,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2023-03-23,Bali's Day of Silence and Hindu New Year (Nyepi),Public holiday
2023-04-07,Good Friday,Public holiday
2023-04-09,Easter Sunday,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2023-04-19,Idul Fitri,Public holiday
2023-04-20,Idul Fitri,Public holiday
2023-04-21,Idul Fitri,Public holiday
2023-04-22,Idul Fitri,Public holiday
2023-04-23,Idul Fitri,Public holiday
2023-04-24,Idul Fitri,Public holiday
2023-04-25,Idul Fitri,Public holiday
2023-05-01,International Labor Day,Public holiday
2023-05-18,Ascension Day of Jesus Christ,Public holiday
2023-06-01,Pancasila Day,Public holiday
2023-06-02,Waisak Day,Public holiday
2023-06-04,Waisak Day,Public holiday
2023-06-29,Idul Adha,Public holiday
2023-07-19,Islamic New Year (Muharram),Public holiday
2023-08-17,Indonesian Independence Day,Public holiday
2023-09-28,The Prophet Muhammad's Birthday (Maulid),Public holiday
2023-11-12,Diwali,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2023-12-24,Christmas,"Observance\nTo hide observances, go to Google Calendar Settings > Holidays in Indonesia"
2023-12-25,Christmas,Public holiday
